"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Leona","Support",108,"47.8%","28.3%","76.1%","53%","29%",64,332,743,2.4,"63.2%","26.2%","35%",-9,-46,-1.3,1.2,"2.9%",103,"5.5%","8.6%",1.73,0.48
"Varus","ADC",91,"40.3%","36.7%","77.0%","46%","44%",242,198,414,3.3,"65.0%","18.5%","19%",40,26,4.8,9.2,"29.0%",579,"30.8%","24.8%",0.87,0.36
"Rumble","Jungle",84,"37.2%","20.4%","59.7%","49%","40%",233,186,508,4,"74.7%","20.0%","52%",108,86,1.3,6,"16.2%",397,"22.0%","18.9%",0.51,0.29
"Diana","Jungle",80,"35.4%","27.0%","62.4%","59%","61%",260,188,480,3.9,"72.8%","20.3%","28%",78,113,3.6,6.7,"19.1%",378,"19.7%","20.5%",0.35,0.37
"Ezreal","ADC",73,"32.3%","27.4%","59.7%","53%","45%",271,100,272,5.4,"65.7%","12.7%","15%",-142,-54,-2.9,9.6,"31.5%",665,"33.5%","26.5%",0.46,0.37
"Lee Sin","Jungle",73,"32.3%","28.8%","85.0%","53%","33%",178,162,407,3.6,"71.1%","19.7%","44%",-70,-136,-3.2,5.7,"15.7%",254,"13.0%","18.0%",0.63,0.42
"Gnar","Top",69,"30.5%","33.6%","64.2%","52%","38%",144,166,329,2.8,"57.0%","19.7%","17%",-8,55,0.2,8.2,"24.4%",484,"24.9%","22.8%",0.4,0.3
"Kalista","ADC",64,"28.3%","42.9%","71.7%","50%","27%",203,139,333,3.9,"66.8%","18.0%","27%",217,125,10.7,9.9,"31.7%",362,"19.5%","26.3%",0.94,0.49
"Ryze","Middle",64,"28.3%","25.7%","54.4%","56%","48%",198,135,342,4,"66.4%","18.2%","28%",45,57,2.8,9.5,"28.9%",417,"22.4%","25.4%",0.52,0.22
"Thresh","Support",56,"24.8%","31.9%","56.6%","54%","13%",33,129,413,3.5,"70.1%","21.7%","30%",-15,-10,-3.5,1.1,"2.0%",87,"5.0%","8.5%",1.76,0.38
"Aphelios","ADC",55,"24.3%","14.2%","38.5%","49%","22%",168,101,225,3.9,"61.8%","17.0%","18%",124,-13,2.5,9.9,"32.0%",442,"25.8%","27.2%",0.46,0.49
"Viego","Top",50,"22.1%","31.0%","66.8%","50%","44%",159,114,237,3.5,"65.7%","20.0%","28%",169,130,4.3,8.5,"25.4%",454,"24.5%","24.0%",0.37,0.3
"Braum","Support",49,"21.7%","14.2%","35.8%","49%","86%",29,128,393,3.3,"71.6%","21.8%","16%",-16,-82,0.3,1.1,"2.3%",141,"7.5%","8.4%",1.73,0.34
"Gwen","Top",48,"21.2%","22.6%","53.1%","46%","65%",138,132,187,2.5,"60.4%","22.4%","8%",-326,-225,-6.4,8.3,"25.8%",487,"26.1%","23.2%",0.38,0.31
"Sett","Middle",46,"20.4%","17.3%","55.3%","59%","30%",97,117,260,3.1,"60.5%","21.7%","26%",-171,-195,-7.1,7.7,"21.4%",366,"19.5%","20.9%",0.37,0.29
"Jayce","Top",44,"19.5%","35.0%","56.2%","64%","64%",150,115,219,3.2,"67.5%","24.5%","27%",166,-26,7,8.7,"26.7%",693,"33.9%","24.8%",0.47,0.31
"Tahm Kench","Support",43,"19.0%","15.9%","35.0%","53%","42%",19,87,284,3.5,"61.5%","19.0%","19%",188,298,17.4,2.3,"5.7%",147,"7.5%","10.2%",1.41,0.26
