"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Tristana","ADC",34,"37.8%","12.2%","50.0%","53%","50%",133,53,146,5.3,"64.1%","11.6%","24%",30,-3,-2.6,9.9,"33.5%",459,"23.8%","27.6%",0.73,0.4
"Alistar","Support",33,"36.7%","12.2%","48.9%","58%","48%",19,118,274,2.5,"65.1%","26.9%","27%",-62,-60,-1.9,1,"2.6%",123,"6.6%","8.5%",1.58,0.34
"Leona","Support",31,"34.4%","23.3%","57.8%","48%","23%",21,123,233,2.1,"58.0%","28.1%","26%",-12,-26,2.1,1.1,"2.6%",121,"6.1%","8.3%",1.55,0.42
"Lucian","Middle",27,"30.0%","46.7%","78.9%","44%","7%",108,67,120,3.4,"65.1%","19.0%","11%",152,123,7.6,9,"26.7%",509,"25.9%","26.0%",0.42,0.22
"Rumble","Jungle",26,"28.9%","12.2%","41.1%","42%","31%",97,74,170,3.6,"74.6%","20.6%","46%",264,254,7.7,6.3,"17.7%",467,"23.9%","19.6%",0.47,0.23
"Varus","ADC",26,"28.9%","47.8%","76.7%","65%","19%",108,42,128,5.6,"61.3%","12.5%","15%",137,231,8.3,9.2,"29.5%",569,"28.5%","25.4%",0.64,0.33
"Nautilus","Support",25,"27.8%","28.9%","56.7%","28%","64%",17,109,161,1.6,"60.5%","28.5%","8%",-256,-54,-4,1,"2.4%",138,"7.6%","8.1%",1.46,0.25
"Viego","Jungle",24,"26.7%","36.7%","85.6%","67%","25%",90,60,160,4.2,"68.5%","19.2%","29%",36,79,1.8,6,"17.0%",336,"17.1%","19.1%",0.36,0.4
"Braum","Support",23,"25.6%","28.9%","54.4%","65%","65%",15,56,213,4.1,"73.8%","21.9%","17%",74,107,0,1.1,"2.3%",182,"9.8%","8.8%",1.49,0.34
"Akali","Middle",22,"24.4%","35.6%","60.0%","68%","41%",117,54,102,4.1,"63.1%","21.0%","18%",-110,-86,-6.1,7.8,"23.1%",492,"25.9%","23.1%",0.32,0.15
"Renekton","Top",22,"24.4%","34.4%","61.1%","59%","36%",46,64,114,2.5,"52.1%","26.1%","18%",88,220,3.8,7.9,"23.7%",345,"19.1%","21.7%",0.43,0.23
"Kai'Sa","ADC",20,"22.2%","5.6%","27.8%","70%","70%",72,31,127,6.4,"64.6%","13.8%","15%",-99,-99,2.6,9.6,"32.0%",426,"22.4%","25.6%",0.65,0.38
"Kalista","ADC",20,"22.2%","41.1%","63.3%","55%","40%",101,45,111,4.7,"68.8%","16.2%","50%",67,69,5,9.5,"31.9%",406,"21.2%","27.5%",0.78,0.45
"Orianna","Middle",19,"21.1%","6.7%","27.8%","42%","53%",54,45,113,3.7,"70.8%","16.5%","21%",-142,3,1.8,8.7,"26.7%",514,"26.0%","24.5%",0.37,0.17
"Ezreal","ADC",18,"20.0%","15.6%","35.6%","28%","28%",40,34,61,3,"59.4%","12.3%","11%",-243,-144,-6.6,9,"30.0%",561,"29.7%","24.5%",0.41,0.21
"Gwen","Top",18,"20.0%","54.4%","80.0%","50%","6%",54,41,91,3.5,"61.7%","18.3%","28%",-12,-11,-3.6,8.1,"25.5%",458,"25.2%","23.1%",0.43,0.21
"Lee Sin","Jungle",18,"20.0%","31.1%","68.9%","56%","22%",51,52,121,3.3,"74.1%","21.9%","56%",18,-195,-4.2,5.5,"15.2%",292,"16.0%","18.1%",0.58,0.29
"Sylas","Middle",18,"20.0%","16.7%","36.7%","50%","56%",68,57,84,2.7,"60.3%","20.7%","6%",-299,-129,-7,7.6,"23.1%",441,"21.2%","22.6%",0.4,0.14
"Volibear","Jungle",18,"20.0%","17.8%","38.9%","39%","56%",42,54,117,2.9,"71.6%","22.8%","50%",5,14,0.9,5.1,"14.1%",299,"15.9%","17.2%",0.37,0.35
"Xin Zhao","Jungle",18,"20.0%","72.2%","92.2%","67%","56%",60,58,131,3.3,"69.0%","26.2%","33%",-146,-179,-7.2,5.6,"17.1%",399,"20.0%","18.4%",0.35,0.33
"Aphelios","ADC",17,"18.9%","4.4%","23.3%","71%","47%",54,17,100,9.1,"64.7%","10.1%","24%",-91,-37,-2.9,9.6,"31.7%",408,"23.1%","25.9%",0.43,0.38
"Thresh","Support",16,"17.8%","78.9%","96.7%","63%","0%",8,47,156,3.5,"66.4%","23.5%","38%",67,9,2.5,1.1,"2.1%",109,"6.1%","8.6%",1.55,0.33
"Jayce","Top",15,"16.7%","8.9%","33.3%","47%","67%",46,51,83,2.5,"64.8%","20.4%","20%",55,-52,3.6,8.5,"26.9%",669,"30.4%","24.2%",0.45,0.24
"Diana","Jungle",14,"15.6%","13.3%","28.9%","29%","64%",32,44,86,2.7,"72.0%","23.3%","7%",7,103,0.9,6.2,"17.4%",356,"19.3%","19.1%",0.4,0.31
"Rakan","Support",14,"15.6%","3.3%","18.9%","50%","71%",7,30,128,4.5,"75.4%","18.6%","29%",115,-193,-3.8,1,"3.1%",147,"7.9%","8.8%",1.82,0.47
"Syndra","Middle",14,"15.6%","2.2%","18.9%","64%","57%",50,48,81,2.7,"65.2%","26.4%","21%",-126,-109,1.8,8.5,"25.0%",443,"23.3%","22.6%",0.4,0.21
"Viego","Top",14,"15.6%","36.7%","85.6%","43%","43%",46,43,69,2.7,"56.9%","23.0%","14%",-6,-122,2.9,8,"25.1%",432,"21.9%","22.9%",0.4,0.17
"Dr. Mundo","Top",13,"14.4%","7.8%","28.9%","38%","46%",26,33,64,2.7,"60.4%","15.6%","8%",-32,44,-3.9,7.8,"24.0%",542,"27.6%","22.4%",0.46,0.19
"Lee Sin","Top",13,"14.4%","31.1%","68.9%","54%","38%",45,18,84,7.2,"69.0%","11.3%","8%",-97,-126,-4.5,8.1,"25.4%",382,"19.6%","24.6%",0.53,0.18
"Nocturne","Top",13,"14.4%","32.2%","51.1%","62%","31%",21,40,75,2.4,"58.2%","24.4%","8%",-11,16,-2.6,7.6,"22.7%",370,"19.1%","20.6%",0.46,0.16
"Camille","Top",12,"13.3%","17.8%","31.1%","67%","58%",29,35,80,3.1,"56.2%","22.9%","17%",-66,-175,-1,7.5,"24.0%",492,"23.6%","20.8%",0.41,0.16
"Sett","Top",12,"13.3%","13.3%","30.0%","42%","42%",24,45,57,1.8,"49.1%","21.8%","25%",-48,-146,0.8,7.5,"23.5%",406,"22.1%","21.0%",0.45,0.17
"Twisted Fate","Middle",12,"13.3%","18.9%","32.2%","75%","83%",46,25,108,6.2,"74.8%","18.7%","33%",661,303,-0.8,7.8,"22.3%",489,"23.2%","24.3%",0.32,0.15
"LeBlanc","Middle",10,"11.1%","32.2%","43.3%","40%","10%",35,24,40,3.1,"55.1%","16.9%","30%",161,99,-2,8,"25.1%",441,"23.1%","22.7%",0.44,0.25
"Ryze","Middle",10,"11.1%","8.9%","20.0%","40%","90%",47,23,48,4.1,"78.5%","16.5%","50%",83,-14,1,9.3,"30.5%",522,"30.0%","27.3%",0.41,0.19
"Trundle","Jungle",8,"8.9%","5.6%","15.6%","75%","75%",24,16,68,5.8,"74.8%","17.4%","50%",-321,-384,-11.3,5.2,"16.5%",289,"14.2%","18.6%",0.36,0.43
"Galio","Support",7,"7.8%","4.4%","12.2%","57%","71%",14,20,69,4.2,"78.3%","23.8%","43%",244,299,12.6,2.4,"7.0%",236,"10.8%","11.6%",1.24,0.24
"Jayce","Middle",7,"7.8%","8.9%","33.3%","14%","71%",17,20,22,2,"60.9%","17.5%","0%",-8,-121,1.4,9.1,"29.0%",501,"30.6%","26.7%",0.36,0.16
"Jinx","ADC",7,"7.8%","2.2%","10.0%","14%","86%",22,12,16,3.2,"54.3%","11.1%","14%",248,56,6.3,9.7,"34.3%",504,"30.9%","28.3%",0.46,0.3
"Ziggs","ADC",7,"7.8%","8.9%","16.7%","57%","43%",17,16,47,4,"52.5%","14.7%","0%",-295,-122,-5.3,9.3,"31.6%",692,"28.8%","25.1%",0.42,0.16
"Dr. Mundo","Jungle",6,"6.7%","7.8%","28.9%","17%","67%",14,18,24,2.1,"65.5%","16.5%","50%",167,114,2.5,5.2,"13.9%",406,"19.9%","17.4%",0.31,0.39
"Draven","ADC",6,"6.7%","12.2%","18.9%","67%","33%",32,12,40,6,"69.9%","15.8%","50%",1038,489,27,9.4,"30.7%",743,"32.3%","30.3%",0.75,0.44
"Gangplank","Top",6,"6.7%","4.4%","11.1%","50%","100%",15,18,29,2.4,"57.9%","21.4%","0%",-14,28,4.2,8.5,"25.7%",604,"30.6%","24.8%",0.48,0.13
"Kennen","Top",6,"6.7%","1.1%","7.8%","67%","100%",21,12,32,4.4,"58.9%","17.4%","17%",352,179,6,7.7,"22.0%",498,"27.8%","21.1%",0.37,0.24
"Lulu","Top",6,"6.7%","26.7%","35.6%","50%","50%",5,5,51,11.2,"72.7%","9.1%","17%",227,316,5.8,5.6,"13.0%",239,"13.3%","15.7%",0.49,0.23
